,Type,Air_temperature,Process_temperature,Rotational_speed,Torque,Tool_wear,Machine_failure,TWF,HDF,PWF,OSF,RNF,Failure_type
1884,Medium,298.0,307.6,1792,26.0,119,0,0,0,0,0,0,NF
1885,Low,298.0,307.6,1683,32.8,122,0,0,0,0,0,0,NF
1886,Low,297.9,307.6,1503,40.7,124,0,0,0,0,0,0,NF
1887,Medium,297.9,307.5,1642,32.4,126,0,0,0,0,0,0,NF
1888,Medium,297.8,307.4,1902,24.3,129,0,0,0,0,0,0,NF
1889,High,297.7,307.4,1432,40.2,132,0,0,0,0,0,0,NF
1890,Low,297.8,307.4,1512,40.8,137,0,0,0,0,0,0,NF
1891,Low,297.7,307.4,1764,29.0,139,0,0,0,0,0,0,NF
1892,Medium,297.8,307.4,1438,43.6,141,0,0,0,0,0,0,NF
1893,Low,297.8,307.5,1631,29.9,144,0,0,0,0,0,0,NF
1894,High,297.9,307.5,1880,23.3,146,0,0,0,0,0,0,NF
1895,Low,297.9,307.6,1344,54.3,151,0,0,0,0,0,0,NF
1896,Low,297.9,307.5,1574,35.8,153,0,0,0,0,0,0,NF
1897,Low,297.8,307.4,1418,41.2,155,0,0,0,0,0,0,NF
1898,Low,297.8,307.5,1372,54.1,157,0,0,0,0,0,0,NF
1899,Low,297.8,307.5,1388,40.0,159,0,0,0,0,0,0,NF
1900,High,297.9,307.6,1493,36.0,161,0,0,0,0,0,0,NF
1901,Medium,297.9,307.6,1505,40.1,166,0,0,0,0,0,0,NF
1902,Low,298.0,307.6,1694,29.1,169,0,0,0,0,0,0,NF
1903,Low,297.9,307.6,1968,20.4,171,0,0,0,0,0,0,NF
1904,Medium,298.0,307.6,1569,35.6,173,0,0,0,0,0,0,NF
1905,Low,297.9,307.6,1687,29.1,176,0,0,0,0,0,0,NF
1906,Low,297.9,307.6,1430,52.4,178,0,0,0,0,0,0,NF
1907,Low,297.9,307.6,1504,42.4,180,0,0,0,0,0,0,NF
1908,Low,297.9,307.6,1977,20.2,182,0,0,0,0,0,0,NF
1909,Low,298.0,307.7,1435,45.6,184,0,0,0,0,0,0,NF
1910,High,298.0,307.7,1547,36.8,186,0,0,0,0,0,0,NF
1911,Medium,298.1,307.8,1316,57.2,191,0,0,0,0,0,0,NF
1912,Medium,298.0,307.7,1621,34.9,194,0,0,0,0,0,0,NF
1913,Medium,298.0,307.8,1492,40.2,197,0,0,0,0,0,0,NF
1914,Low,298.0,307.7,1643,32.3,200,0,0,0,0,0,0,NF
1915,Low,298.0,307.7,1492,38.7,202,0,0,0,0,0,0,NF
1916,Low,298.0,307.7,1387,50.8,204,0,0,0,0,0,0,NF
1917,Medium,298.1,307.9,1463,47.3,206,0,0,0,0,0,0,NF
1918,Medium,298.1,307.9,1496,40.0,0,0,0,0,0,0,0,NF
1919,Low,298.2,308.0,1658,30.0,3,0,0,0,0,0,0,NF
1920,Low,298.1,307.9,2161,17.5,5,0,0,0,0,0,0,NF
1921,Low,298.1,307.9,1665,32.0,7,0,0,0,0,0,0,NF
1922,Low,298.0,307.8,1716,26.6,9,0,0,0,0,0,0,NF
1923,Low,298.0,307.7,1529,34.1,11,0,0,0,0,0,0,NF
1924,Low,297.9,307.7,1353,50.7,13,0,0,0,0,0,0,NF
1925,Low,297.9,307.7,1537,37.7,15,0,0,0,0,0,0,NF
1926,Low,298.0,307.7,1606,30.8,17,0,0,0,0,0,0,NF
1927,High,298.0,307.8,1314,47.8,19,0,0,0,0,0,0,NF
1928,Low,298.0,307.8,1623,29.9,24,0,0,0,0,0,0,NF
1929,Medium,298.0,307.8,1483,50.9,26,0,0,0,0,0,0,NF
1930,Medium,298.1,307.9,1569,37.0,29,0,0,0,0,0,0,NF
1931,Medium,298.2,308.0,1969,21.7,32,0,0,0,0,0,0,NF
1932,Medium,298.1,308.0,1686,29.3,35,0,0,0,0,0,0,NF
1933,Low,298.1,308.0,1638,35.1,38,0,0,0,0,0,0,NF
1934,Low,298.1,307.9,1698,33.3,40,0,0,0,0,0,0,NF
1935,Medium,298.1,307.9,1377,55.1,42,0,0,0,0,0,0,NF
1936,Medium,298.1,308.0,2129,18.4,45,0,0,0,0,0,0,NF
1937,Low,298.2,308.0,1411,42.4,48,0,0,0,0,0,0,NF
1938,Low,298.1,307.9,1517,40.8,50,0,0,0,0,0,0,NF
1939,Medium,298.1,307.9,1303,53.9,52,0,0,0,0,0,0,NF
1940,Low,298.1,307.9,1578,35.6,55,0,0,0,0,0,0,NF
1941,Low,298.1,307.9,1425,58.2,57,0,0,0,0,0,0,NF
1942,Low,298.1,308.0,1456,42.4,59,0,0,0,0,0,0,NF
1943,Low,298.1,308.0,1704,30.9,61,0,0,0,0,0,0,NF
1944,Low,298.1,308.1,1791,27.3,63,0,0,0,0,0,0,NF
1945,Low,298.1,308.1,1616,32.8,65,0,0,0,0,0,0,NF
1946,Low,298.2,308.1,1622,34.9,67,0,0,0,0,0,0,NF
1947,Low,298.2,308.1,1462,49.9,69,0,0,0,0,0,0,NF
1948,Low,298.1,308.1,1410,45.8,71,0,0,0,0,0,0,NF
1949,Medium,298.1,308.0,1543,41.9,73,0,0,0,0,0,0,NF
1950,Medium,298.0,307.9,1479,47.6,76,0,0,0,0,0,0,NF
1951,Low,298.0,307.8,1839,22.7,79,0,0,0,0,0,0,NF
1952,Low,298.0,307.8,1266,60.5,81,0,0,0,0,0,0,NF
1953,Low,297.9,307.7,1593,34.9,83,0,0,0,0,0,0,NF
1954,Low,297.9,307.8,1459,46.9,85,0,0,0,0,0,0,NF
1955,Low,297.9,307.7,1308,55.2,87,0,0,0,0,0,0,NF
1956,Medium,297.9,307.7,1364,46.8,89,0,0,0,0,0,0,NF
1957,High,297.9,307.7,1618,35.9,92,0,0,0,0,0,0,NF
1958,High,297.9,307.7,1464,43.2,97,0,0,0,0,0,0,NF
1959,Medium,297.8,307.6,1352,49.4,102,0,0,0,0,0,0,NF
1960,Low,297.8,307.6,1446,51.4,105,0,0,0,0,0,0,NF
1961,Low,297.8,307.5,1448,51.2,107,0,0,0,0,0,0,NF
1962,Low,297.8,307.5,1391,48.6,109,0,0,0,0,0,0,NF
1963,Low,297.7,307.5,1379,43.3,111,0,0,0,0,0,0,NF
1964,Medium,297.8,307.5,1405,46.9,113,0,0,0,0,0,0,NF
1965,Low,297.8,307.5,1581,33.1,116,0,0,0,0,0,0,NF
1966,Low,297.9,307.6,1515,40.5,118,0,0,0,0,0,0,NF
1967,Low,297.9,307.6,1589,37.8,120,0,0,0,0,0,0,NF
1968,Low,298.0,307.6,1281,50.8,122,0,0,0,0,0,0,NF
1969,High,297.8,307.5,1631,31.3,124,0,0,0,0,0,0,NF
1970,Medium,297.9,307.6,1202,67.0,129,0,0,0,0,0,0,NF
1971,Low,297.9,307.6,1298,52.7,132,0,0,0,0,0,0,NF
1972,Low,297.9,307.6,1612,30.7,134,0,0,0,0,0,0,NF
1973,Low,297.9,307.6,1747,25.3,136,0,0,0,0,0,0,NF
1974,Low,298.0,307.6,1450,48.7,138,0,0,0,0,0,0,NF
1975,Low,298.0,307.7,1422,45.6,140,0,0,0,0,0,0,NF
1976,Medium,298.1,307.7,1419,47.4,142,0,0,0,0,0,0,NF
1977,Medium,298.1,307.7,1633,30.7,145,0,0,0,0,0,0,NF
1978,Low,298.0,307.7,1442,43.6,148,0,0,0,0,0,0,NF
1979,High,298.0,307.6,1420,45.8,150,0,0,0,0,0,0,NF
1980,Medium,298.0,307.6,1301,58.5,155,0,0,0,0,0,0,NF
1981,Low,298.0,307.6,1385,45.0,158,0,0,0,0,0,0,NF
1982,Medium,298.0,307.7,1487,41.3,160,0,0,0,0,0,0,NF
1983,Medium,298.0,307.6,1459,44.4,163,0,0,0,0,0,0,NF
1984,Medium,298.0,307.5,1387,45.5,166,0,0,0,0,0,0,NF
1985,Low,298.1,307.7,1537,40.8,169,0,0,0,0,0,0,NF
1986,Low,298.1,307.6,1498,42.9,171,0,0,0,0,0,0,NF
1987,Medium,298.2,307.8,1599,31.2,173,0,0,0,0,0,0,NF
1988,High,298.3,307.9,1420,39.2,176,0,0,0,0,0,0,NF
1989,Low,298.2,307.9,1785,23.4,181,0,0,0,0,0,0,NF
1990,Low,298.2,307.8,1423,48.1,183,0,0,0,0,0,0,NF
1991,Medium,298.2,307.8,1583,36.6,185,0,0,0,0,0,0,NF
1992,Low,298.2,307.8,1375,46.6,188,0,0,0,0,0,0,NF
1993,Medium,298.3,308.0,1463,42.5,190,0,0,0,0,0,0,NF
1994,Medium,298.2,307.9,1403,45.1,193,0,0,0,0,0,0,NF
1995,Low,298.3,308.0,1451,47.1,196,0,0,0,0,0,0,NF
1996,Medium,298.4,308.0,1416,38.2,198,1,1,0,0,0,0,TWF
1997,Low,298.3,308.1,1672,41.3,0,0,0,0,0,0,0,NF
1998,High,298.3,308.0,1637,30.8,2,0,0,0,0,0,0,NF
1999,Low,298.4,308.0,1540,37.8,7,0,0,0,0,0,0,NF
2000,Low,298.4,308.1,1279,53.1,9,0,0,0,0,0,0,NF
2001,Low,298.4,308.2,1604,34.9,11,0,0,0,0,0,0,NF
2002,Low,298.5,308.2,1654,27.1,13,0,0,0,0,0,0,NF
2003,Medium,298.5,308.2,1564,37.5,15,0,0,0,0,0,0,NF
2004,Low,298.5,308.2,1451,47.5,18,0,0,0,0,0,0,NF
2005,Low,298.5,308.3,1504,38.0,20,0,0,0,0,0,0,NF
2006,Medium,298.5,308.3,1381,50.5,22,0,0,0,0,0,0,NF
2007,Low,298.6,308.4,1562,34.4,25,0,0,0,0,0,0,NF
2008,Low,298.5,308.3,1811,24.7,27,0,0,0,0,0,0,NF
2009,Medium,298.6,308.3,1717,28.7,29,0,0,0,0,0,0,NF
2010,Low,298.6,308.3,1278,60.5,32,0,0,0,0,0,0,NF
2011,Low,298.7,308.5,1616,30.2,34,0,0,0,0,0,0,NF
2012,Low,298.6,308.4,1397,46.4,36,0,0,0,0,0,0,NF
2013,Low,298.6,308.4,1485,42.9,38,0,0,0,0,0,0,NF
2014,Low,298.6,308.4,1310,59.7,40,0,0,0,0,0,0,NF
2015,Low,298.5,308.2,1301,66.3,42,1,0,0,1,0,0,PWF
2016,Low,298.5,308.3,1458,44.0,44,0,0,0,0,0,0,NF
2017,Low,298.7,308.5,1483,42.5,46,0,0,0,0,0,0,NF
2018,Low,298.7,308.5,1375,46.4,48,0,0,0,0,0,0,NF
2019,Medium,298.7,308.5,1660,27.0,50,0,0,0,0,0,0,NF
2020,High,298.7,308.4,1560,33.3,53,0,0,0,0,0,0,NF
2021,Low,298.7,308.5,1480,42.2,58,0,0,0,0,0,0,NF
2022,Low,298.7,308.4,1373,46.9,60,0,0,0,0,0,0,NF
2023,Low,298.7,308.5,1444,54.2,62,0,0,0,0,0,0,NF
2024,Medium,298.7,308.6,1722,24.7,64,0,0,0,0,0,0,NF
2025,Low,298.7,308.5,1469,39.9,67,0,0,0,0,0,0,NF
2026,Medium,298.7,308.5,1360,52.9,69,0,0,0,0,0,0,NF
2027,Low,298.7,308.4,1750,25.8,72,0,0,0,0,0,0,NF
2028,Medium,298.7,308.3,1349,46.6,74,0,0,0,0,0,0,NF
2029,Low,298.7,308.5,1668,35.2,77,0,0,0,0,0,0,NF
2030,Low,298.9,308.6,1400,49.5,79,0,0,0,0,0,0,NF
2031,Low,298.8,308.6,1331,62.8,81,0,0,0,0,0,0,NF
2032,Low,298.8,308.5,1444,42.2,83,0,0,0,0,0,0,NF
2033,High,298.8,308.5,1359,47.6,85,0,0,0,0,0,0,NF
2034,Medium,298.8,308.5,1425,47.4,90,0,0,0,0,0,0,NF
2035,Medium,298.9,308.6,1469,34.2,93,0,0,0,0,0,0,NF
2036,Low,299.0,308.7,1892,22.8,96,0,0,0,0,0,0,NF
2037,High,299.0,308.7,1940,19.9,98,0,0,0,0,0,0,NF
2038,Low,299.0,308.8,1405,55.2,103,0,0,0,0,0,0,NF
2039,Medium,299.0,308.9,1449,39.6,105,0,0,0,0,0,0,NF
2040,Low,299.1,308.9,1686,29.6,108,0,0,0,0,0,0,NF
2041,Low,299.1,308.9,1680,27.2,110,0,0,0,0,0,0,NF
2042,Medium,299.1,308.9,1397,52.4,112,0,0,0,0,0,0,NF
2043,Medium,299.2,309.0,1597,30.3,115,0,0,0,0,0,0,NF
2044,Low,299.3,309.1,1470,41.1,118,0,0,0,0,0,0,NF
2045,Medium,299.3,309.1,1703,31.3,120,0,0,0,0,0,0,NF
2046,Low,299.3,309.1,1388,45.5,123,0,0,0,0,0,0,NF
2047,Low,299.3,309.2,1775,24.2,125,0,0,0,0,0,0,NF
2048,Low,299.3,309.2,1465,41.5,127,0,0,0,0,0,0,NF
2049,Medium,299.3,309.2,1586,37.9,129,0,0,0,0,0,0,NF
2050,Medium,299.5,309.3,1675,29.2,132,0,0,0,0,0,0,NF
2051,Medium,299.4,309.2,1470,44.4,135,0,0,0,0,0,0,NF
2052,Low,299.5,309.3,1477,40.4,138,0,0,0,0,0,0,NF
2053,Low,299.5,309.3,1382,61.0,140,0,0,0,0,0,0,NF
2054,Medium,299.6,309.4,1605,29.8,142,0,0,0,0,0,0,NF
2055,Low,299.6,309.4,1643,32.9,145,0,0,0,0,0,0,NF
2056,Low,299.5,309.3,1333,54.1,147,0,0,0,0,0,0,NF
2057,Low,299.5,309.3,1520,42.3,149,0,0,0,0,0,0,NF
2058,Medium,299.5,309.3,1902,24.0,151,0,0,0,0,0,0,NF
2059,High,299.5,309.4,1386,44.4,154,0,0,0,0,0,0,NF
2060,Low,299.6,309.5,1803,27.7,159,0,0,0,0,0,0,NF
2061,Low,299.7,309.6,1359,50.7,161,0,0,0,0,0,0,NF
2062,Medium,299.7,309.6,1477,42.7,163,0,0,0,0,0,0,NF
2063,Low,299.7,309.6,1321,53.4,166,0,0,0,0,0,0,NF
2064,Low,299.6,309.5,1453,41.4,168,0,0,0,0,0,0,NF
2065,Low,299.7,309.6,1419,45.1,170,0,0,0,0,0,0,NF
2066,Low,299.7,309.6,1512,36.2,172,0,0,0,0,0,0,NF
2067,Low,299.7,309.6,1553,36.8,174,0,0,0,0,0,0,NF
2068,Medium,299.7,309.6,1534,39.1,176,0,0,0,0,0,0,NF
2069,High,299.7,309.6,1553,41.0,179,0,0,0,0,0,0,NF
2070,Low,299.7,309.5,1352,49.7,184,0,0,0,0,0,0,NF
2071,Medium,299.7,309.6,1313,60.0,186,0,0,0,0,0,0,NF
2072,Low,299.6,309.5,1570,35.5,189,0,0,0,0,0,1,NF
2073,Low,299.6,309.4,1677,31.1,191,0,0,0,0,0,0,NF
2074,Low,299.5,309.4,1602,31.5,193,0,0,0,0,0,0,NF
2075,Low,299.5,309.4,1390,58.8,195,1,0,0,0,1,0,OSF
2076,Low,299.4,309.3,1544,36.0,197,0,0,0,0,0,0,NF
2077,Low,299.4,309.4,1701,31.2,199,0,0,0,0,0,0,NF
2078,Medium,299.4,309.3,1692,28.4,201,0,0,0,0,0,0,NF
2079,Medium,299.3,309.3,1523,37.9,204,0,0,0,0,0,0,NF
2080,Low,299.3,309.2,2280,15.4,207,0,0,0,0,0,0,NF
2081,Medium,299.4,309.3,1485,47.1,209,0,0,0,0,0,0,NF
2082,High,299.4,309.2,1513,36.1,212,0,0,0,0,0,0,NF
2083,High,299.4,309.3,1743,28.2,0,0,0,0,0,0,0,NF
2084,Low,299.5,309.3,1442,46.2,5,0,0,0,0,0,0,NF
2085,Low,299.5,309.3,1462,46.7,7,0,0,0,0,0,0,NF
2086,High,299.4,309.3,1439,49.7,9,0,0,0,0,0,0,NF
2087,Low,299.5,309.3,1577,36.6,14,0,0,0,0,0,0,NF
2088,Low,299.6,309.4,1331,46.4,16,0,0,0,0,0,0,NF
2089,Low,299.5,309.3,1941,22.5,18,0,0,0,0,0,0,NF
2090,Low,299.5,309.2,1393,47.3,20,0,0,0,0,0,0,NF
2091,Low,299.4,309.2,1433,42.1,22,0,0,0,0,0,0,NF
2092,Low,299.4,309.2,1444,48.2,24,0,0,0,0,0,0,NF
2093,Low,299.4,309.2,1564,39.0,26,0,0,0,0,0,0,NF
2094,Low,299.4,309.3,1377,43.6,28,0,0,0,0,0,0,NF
2095,Low,299.4,309.3,1525,41.5,30,0,0,0,0,0,0,NF
2096,Medium,299.5,309.4,1387,56.2,32,0,0,0,0,0,0,NF
2097,Medium,299.4,309.4,1326,47.5,35,0,0,0,0,0,0,NF
2098,Low,299.4,309.3,1401,59.0,38,0,0,0,0,0,0,NF
2099,Low,299.4,309.3,1596,31.8,40,0,0,0,0,0,0,NF
2100,Medium,299.3,309.3,1471,46.0,42,0,0,0,0,0,0,NF
2101,Low,299.3,309.3,1528,37.8,45,0,0,0,0,0,0,NF
2102,Low,299.3,309.3,1325,62.0,47,0,0,0,0,0,0,NF
2103,Medium,299.3,309.1,1376,46.7,49,0,0,0,0,0,0,NF
2104,Medium,299.3,309.1,1600,35.3,52,0,0,0,0,0,0,NF
2105,Low,299.3,309.1,1495,44.0,55,0,0,0,0,0,0,NF
2106,Low,299.4,309.1,1645,28.6,57,0,0,0,0,0,0,NF
2107,Medium,299.4,309.1,1417,47.3,59,0,0,0,0,0,0,NF
2108,High,299.4,309.0,1415,51.7,62,0,0,0,0,0,0,NF
2109,Medium,299.3,309.0,1496,43.4,67,0,0,0,0,0,0,NF
2110,High,299.3,309.0,1508,35.0,70,0,0,0,0,0,0,NF
2111,Low,299.4,309.0,1436,47.9,75,0,0,0,0,0,0,NF
2112,Low,299.5,309.1,1852,22.6,77,0,0,0,0,0,0,NF
2113,Low,299.5,309.1,1863,22.5,79,0,0,0,0,0,0,NF
2114,High,299.4,309.1,1373,44.1,81,0,0,0,0,0,0,NF
2115,Low,299.4,309.0,1404,47.3,86,0,0,0,0,0,0,NF
2116,Medium,299.4,309.0,1381,44.9,88,0,0,0,0,0,0,NF
2117,High,299.4,308.9,1762,29.3,91,0,0,0,0,0,0,NF
2118,High,299.3,308.9,1429,43.0,96,0,0,0,0,0,0,NF
2119,Medium,299.3,308.9,1858,24.7,101,0,0,0,0,0,0,NF
2120,High,299.2,308.8,1908,21.3,104,0,0,0,0,0,0,NF
2121,Medium,299.2,308.8,1503,37.4,109,0,0,0,0,0,0,NF
2122,Medium,299.2,308.8,1523,38.9,112,0,0,0,0,0,0,NF
2123,Low,299.3,309.0,1491,38.4,115,0,0,0,0,0,0,NF
2124,Low,299.2,308.9,1430,39.1,117,0,0,0,0,0,0,NF
2125,Low,299.3,308.9,1258,69.4,119,1,0,0,1,0,0,PWF
2126,Low,299.3,309.0,1449,46.5,121,0,0,0,0,0,0,NF
2127,High,299.3,309.0,1425,40.6,123,0,0,0,0,0,0,NF
2128,Low,299.4,309.0,1800,24.3,128,0,0,0,0,0,0,NF
2129,High,299.4,309.0,1607,33.7,130,0,0,0,0,0,0,NF
2130,Low,299.4,309.0,1391,58.2,135,0,0,0,0,0,0,NF
2131,Low,299.4,309.1,1432,45.4,137,0,0,0,0,0,0,NF
2132,Low,299.4,309.0,1660,28.4,139,0,0,0,0,0,0,NF
2133,High,299.3,309.0,1732,29.7,141,0,0,0,0,0,0,NF
2134,Low,299.3,309.0,1473,46.3,146,0,0,0,0,0,0,NF
2135,Low,299.3,309.0,1511,47.8,148,0,0,0,0,0,0,NF
2136,Low,299.2,308.9,1588,41.5,150,0,0,0,0,0,0,NF
2137,Low,299.3,308.9,1623,31.1,152,0,0,0,0,0,0,NF
2138,Low,299.3,309.0,1734,30.6,154,0,0,0,0,0,0,NF
2139,Low,299.3,309.0,1415,47.6,156,0,0,0,0,0,0,NF
2140,Low,299.3,309.0,1419,46.6,158,0,0,0,0,0,0,NF
2141,Medium,299.3,308.9,1577,34.9,160,0,0,0,0,0,0,NF
2142,Low,299.3,308.9,1376,60.3,163,0,0,0,0,0,0,NF
2143,Medium,299.3,308.8,1442,49.0,165,0,0,0,0,0,0,NF
2144,Low,299.4,308.9,1451,40.5,168,0,0,0,0,0,0,NF
2145,Low,299.3,308.8,1550,45.8,170,0,0,0,0,0,0,NF
2146,Low,299.3,308.8,1647,32.9,172,0,0,0,0,0,0,NF
2147,Low,299.4,308.9,1550,33.7,174,0,0,0,0,0,0,NF
2148,Low,299.4,308.9,1583,34.1,176,0,0,0,0,0,0,NF
2149,Low,299.4,309.0,1613,32.2,178,0,0,0,0,0,0,NF
2150,High,299.3,308.8,1636,35.5,180,0,0,0,0,0,0,NF
2151,Medium,299.3,308.7,1289,51.5,185,0,0,0,0,0,0,NF
2152,Medium,299.3,308.8,1648,28.4,188,0,0,0,0,0,0,NF
2153,High,299.3,308.8,1397,45.4,191,0,0,0,0,0,0,NF
2154,Medium,299.3,308.9,1767,24.8,196,0,0,0,0,0,0,NF
2155,Low,299.3,308.8,1341,47.7,199,0,0,0,0,0,0,NF
2156,Medium,299.4,308.9,1457,41.5,201,0,0,0,0,0,0,NF
2157,Medium,299.4,309.0,1939,19.8,204,0,0,0,0,0,0,NF
2158,Medium,299.5,309.0,1399,49.7,207,0,0,0,0,0,0,NF
2159,Medium,299.5,309.0,1602,31.3,210,0,0,0,0,0,0,NF
2160,Low,299.4,309.0,1507,41.0,213,0,0,0,0,0,0,NF
2161,Low,299.4,309.1,1464,40.5,215,0,0,0,0,0,0,NF
2162,Low,299.5,309.1,1336,42.1,217,0,0,0,0,0,0,NF
2163,Low,299.6,309.2,1422,39.8,219,0,0,0,0,0,0,NF
2164,Low,299.6,309.2,1540,36.7,221,0,0,0,0,0,0,NF
2165,Low,299.5,309.1,1476,47.8,223,0,0,0,0,0,0,NF
2166,Medium,299.6,309.2,1867,23.4,225,1,1,0,0,0,0,TWF
2167,High,299.6,309.1,1588,41.3,0,0,0,0,0,0,0,NF
2168,Medium,299.5,309.1,1420,49.5,5,0,0,0,0,0,0,NF
2169,Low,299.5,309.1,1415,49.2,8,0,0,0,0,0,0,NF
2170,Medium,299.4,309.1,1500,43.3,10,0,0,0,0,0,0,NF
2171,Low,299.5,309.1,1502,44.6,13,0,0,0,0,0,0,NF
2172,Low,299.5,309.2,1816,23.0,15,0,0,0,0,0,0,NF
2173,Medium,299.5,309.2,1495,41.6,17,0,0,0,0,0,0,NF
2174,Low,299.6,309.2,1572,33.4,20,0,0,0,0,0,0,NF
2175,Medium,299.5,309.2,1590,35.9,22,0,0,0,0,0,0,NF
2176,Medium,299.6,309.3,1387,48.3,25,0,0,0,0,0,0,NF
2177,Medium,299.6,309.2,1393,47.7,28,0,0,0,0,0,0,NF
2178,Low,299.6,309.2,1602,37.3,31,0,0,0,0,0,0,NF
2179,Low,299.6,309.2,1601,33.3,33,0,0,0,0,0,0,NF
2180,High,299.6,309.2,1597,36.3,35,0,0,0,0,0,0,NF
2181,High,299.5,309.1,1548,44.3,40,0,0,0,0,0,0,NF
2182,Medium,299.5,309.2,1314,61.8,45,0,0,0,0,0,0,NF
2183,Medium,299.6,309.3,1577,39.8,48,0,0,0,0,0,0,NF
2184,Low,299.8,309.4,1475,43.4,51,0,0,0,0,0,0,NF
2185,Low,299.8,309.4,1630,32.4,53,0,0,0,0,0,0,NF
2186,Low,299.7,309.4,1445,42.9,55,0,0,0,0,0,0,NF
2187,Medium,299.8,309.4,1439,47.4,57,0,0,0,0,0,0,NF
2188,Low,299.7,309.3,1420,44.1,60,0,0,0,0,0,0,NF
2189,High,299.7,309.2,1554,41.6,62,0,0,0,0,0,0,NF
2190,Medium,299.6,309.1,1471,44.3,67,0,0,0,0,0,0,NF
2191,Low,299.6,309.0,1648,33.6,70,0,0,0,0,0,0,NF
2192,Low,299.6,309.0,1472,48.8,72,0,0,0,0,0,0,NF
2193,Medium,299.5,308.9,1448,42.9,74,0,0,0,0,0,0,NF
2194,Medium,299.6,308.9,1568,35.3,77,0,0,0,0,0,0,NF
2195,Low,299.6,308.9,1613,30.8,80,0,0,0,0,0,0,NF
2196,Medium,299.7,308.9,1551,35.4,82,0,0,0,0,0,0,NF
2197,Low,299.7,309.0,1412,49.2,85,0,0,0,0,0,0,NF
2198,Medium,299.7,308.9,1478,41.0,87,0,0,0,0,0,0,NF
2199,Medium,299.8,309.1,1268,58.0,90,0,0,0,0,0,0,NF
2200,Low,299.8,309.1,1546,35.6,93,0,0,0,0,0,0,NF
2201,Low,299.8,309.0,1567,36.1,95,0,0,0,0,0,0,NF
2202,Medium,299.9,309.2,1548,35.7,97,0,0,0,0,0,0,NF
2203,Low,299.8,309.0,1614,30.8,100,0,0,0,0,0,0,NF
2204,Medium,299.7,309.1,1352,46.1,102,0,0,0,0,0,0,NF
2205,Low,299.9,309.2,1624,34.6,105,0,0,0,0,0,0,NF
2206,Low,299.9,309.2,1436,52.0,107,0,0,0,0,0,0,NF
2207,Low,299.8,309.2,1591,37.5,109,0,0,0,0,0,0,NF
2208,High,299.8,309.2,1435,42.6,111,0,0,0,0,0,0,NF
2209,Low,299.8,309.3,1386,49.4,116,0,0,0,0,0,0,NF
2210,Low,299.7,309.2,1401,54.1,118,0,0,0,0,0,0,NF
2211,Medium,299.6,309.0,1245,64.0,120,0,0,0,0,0,0,NF
2212,Low,299.7,309.1,1475,40.0,123,0,0,0,0,0,0,NF
2213,Low,299.7,309.1,1473,39.4,125,0,0,0,0,0,0,NF
2214,High,299.7,309.2,1355,44.8,127,0,0,0,0,0,0,NF
2215,High,299.7,309.2,1468,49.6,132,0,0,0,0,0,0,NF
2216,Low,299.7,309.2,1645,30.8,137,0,0,0,0,0,0,NF
2217,Low,299.7,309.1,1347,55.3,139,0,0,0,0,0,0,NF
2218,Low,299.7,309.1,1713,33.5,141,0,0,0,0,0,0,NF
2219,Medium,299.6,309.1,1435,48.4,143,0,0,0,0,0,0,NF
2220,Medium,299.6,309.0,1736,26.1,146,0,0,0,0,0,0,NF
2221,Low,299.6,309.0,1372,60.4,149,0,0,0,0,0,0,NF
2222,Low,299.7,309.0,1605,33.0,151,0,0,0,0,0,0,NF
2223,Low,299.6,309.0,1413,48.5,153,0,0,0,0,0,0,NF
2224,Medium,299.7,309.0,1645,31.9,155,0,0,0,0,0,0,NF
2225,Medium,299.7,309.0,1465,49.0,158,0,0,0,0,0,0,NF
2226,Medium,299.6,308.9,1685,27.8,161,0,0,0,0,0,0,NF
2227,Low,299.5,308.8,1965,20.4,164,0,0,0,0,0,0,NF
2228,High,299.4,308.6,1542,41.8,166,0,0,0,0,0,0,NF
2229,Low,299.4,308.7,1681,30.8,171,0,0,0,0,0,0,NF
2230,Low,299.5,308.7,1446,45.7,173,0,0,0,0,0,0,NF
2231,Low,299.4,308.6,1415,56.4,175,0,0,0,0,0,0,NF
2232,Low,299.5,308.6,1672,30.5,177,0,0,0,0,0,0,NF
2233,Low,299.5,308.7,2549,13.0,179,1,0,0,1,0,0,PWF
2234,Low,299.4,308.6,1492,40.5,181,0,0,0,0,0,0,NF
2235,Medium,299.4,308.6,1455,42.7,183,0,0,0,0,0,0,NF
2236,Medium,299.3,308.5,1422,43.1,186,0,0,0,0,0,0,NF
2237,Low,299.3,308.6,1403,50.6,189,0,0,0,0,0,0,NF
2238,Low,299.3,308.6,1474,49.6,191,0,0,0,0,0,0,NF
2239,Low,299.2,308.6,1381,50.0,193,0,0,0,0,0,0,NF
2240,Low,299.2,308.5,1457,44.7,195,0,0,0,0,0,0,NF
2241,Low,299.2,308.4,1711,28.9,197,0,0,0,0,0,0,NF
2242,Low,299.2,308.4,1667,29.0,199,0,0,0,0,0,0,NF
2243,Low,299.2,308.4,1465,35.0,201,0,0,0,0,0,0,NF
2244,Medium,299.3,308.4,1542,37.5,203,1,1,0,0,0,0,TWF
2245,Medium,299.3,308.4,1438,42.3,0,0,0,0,0,0,0,NF
2246,Low,299.3,308.4,1406,47.4,3,0,0,0,0,0,0,NF
2247,Medium,299.2,308.4,1396,48.5,5,0,0,0,0,0,0,NF
